user_id	job_seeking_status	number_contacts
1	1	279
2	3	337
3	2	339
4	3	388
5	2	122
6	3	426
7	3	182
8	2	363
9	1	0
10	1	87
11	2	350
12	1	16
13	1	15
14	2	6
15	1	0
16	2	85
17	1	60
18	2	219
19	1	3652
20	1	226
21	1	168
22	1	129
23	2	157
24	2	0
25	1	67
26	3	217
27	2	0
28	2	129
29	2	21
30	2	1
31	2	361
32	1	51
33	3	100
34	1	42
35	1	36
36	3	65
37	1	115
38	1	15
39	3	58
40	2	158
41	3	332
42	2	5
43	3	6
44	2	89
45	2	34
46	2	62
47	2	124
48	2	28
49	3	72
50	1	5
51	1	98
52	3	81
53	2	221
54	2	43
55	2	234
56	2	106
57	1	1
58	3	323
59	1	144
60	2	182
61	1	19
62	3	71
63	1	154
64	2	745
65	3	28
66	3	168
67	2	5
68	3	448
69	3	151
70	2	70
71	3	161
72	2	171
73	2	57
74	2	102
75	2	23
76	2	342
77	2	122
78	1	147
79	3	5
80	2	50
81	3	39
82	3	64
83	2	17
84	1	47
85	3	38
86	3	18
87	3	196
88	2	1
89	3	265
90	1	61
91	3	177
92	3	29
93	2	10
94	1	7
95	3	111
96	3	73
97	1	4
98	3	7
99	3	0
100	1	2
101	2	1
102	2	46
103	3	0
104	3	4
105	2	1
106	2	40
107	3	11
108	1	6
109	2	0
110	2	91
111	3	144
112	3	131
113	3	414
114	2	646
115	2	269
116	3	64
117	2	150
118	2	424
119	3	211
120	2	268
121	1	145
122	1	141
123	2	61
124	1	37
125	2	800
126	2	1487
127	3	581
128	2	428
129	3	8
130	2	192
131	2	124
132	3	278
133	1	29
134	1	79
135	2	476
136	2	247
137	1	102
138	3	159
139	2	456
140	2	409
141	1	69
142	2	333
143	3	337
144	1	98
145	1	48
146	3	879
147	3	157
148	2	203
149	3	213
150	2	452
151	1	547
152	2	411
153	2	52
154	3	181
155	1	48
156	1	102
157	3	115
158	2	266
159	2	181
160	1	102
161	1	146
162	3	103
163	2	462
164	2	221
165	2	9
166	1	8
167	3	78
168	3	42
169	2	175
170	2	221
171	3	56
172	3	205
173	3	133
174	1	8
175	3	193
176	2	177
177	3	21
178	2	229
179	2	448
180	3	88
181	2	338
182	1	83
183	1	23
184	2	254
185	3	108
186	3	159
187	2	72
188	3	237
189	2	143
190	2	81
191	2	210
192	2	244
193	3	907
194	3	182
195	2	1526
196	1	185
197	3	240
198	3	163
199	1	39
200	1	189
201	2	1
202	3	84
203	3	70
204	2	1
205	3	26
206	2	42
207	3	15
208	3	14
209	3	38
210	2	33
211	1	77
212	2	0
213	1	0
214	3	63
215	2	102
216	3	10
217	2	69
218	2	14
219	2	287
220	3	41
221	2	51
222	2	0
223	3	1
224	2	0
225	3	66
226	1	4
227	2	0
228	2	1
229	1	15
230	3	341
231	3	40
232	1	48
233	3	49
234	3	54
235	2	0
236	2	7
237	2	98
238	2	0
239	3	56
240	3	18
241	2	0
242	1	15
243	2	76
244	3	144
245	2	6
246	2	0
247	3	12
248	2	40
249	3	88
250	3	40
251	3	0
252	3	59
253	2	1
254	3	3
255	3	82
256	3	145
257	2	50
258	2	6
259	3	12
260	2	0
261	3	100
262	3	17
263	3	16
264	2	6
265	2	216
266	3	186
267	2	536
268	2	372
269	1	121
270	2	153
271	3	55
272	3	61
273	1	425
274	2	10
275	1	2
276	2	128
277	1	256
278	1	161
279	1	208
280	1	375
281	1	0
282	1	196
283	1	75
284	1	266
285	2	112
286	2	210
287	3	475
288	1	238
289	3	128
290	3	457
291	1	71
292	2	564
293	1	1180
294	1	542
295	2	86
296	1	10
297	3	269
298	2	446
299	1	112
300	2	236
301	2	128
302	3	547
303	2	340
304	1	130
305	3	236
306	1	9052
307	1	74
308	2	80
309	2	197
310	3	320
311	3	158
312	3	116
313	2	100
314	3	36
315	2	149
316	1	285
317	2	61
318	3	101
319	3	332
320	1	38
321	2	79
322	1	73
323	1	9
324	1	213
325	3	44
326	1	408
327	2	144
328	2	252
329	1	66
330	2	230
331	2	0
332	2	47
333	3	23
334	1	1
335	2	46
336	3	187
337	2	5
338	3	144
339	1	142
340	1	96
341	2	16
342	3	59
343	1	123
344	2	73
